Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1756233,ROUND,0.41,SI2,L,EX,EX,VG,N,4.72-4.75×2.96,813.38,https://capitalwholesalediamonds.com/product/0-41-ct-round-286/
1756233,ROUND,0.41,SI2,L,EX,EX,VG,N,4.72-4.75×2.96,813.38,https://capitalwholesalediamonds.com/product/0-41-ct-round-448/
1790923,ROUND,0.3,SI1,I,VG,EX,VG,N,4.23-4.24×2.69,813.6,https://capitalwholesalediamonds.com/product/0-3-ct-round-5554/
1784797,ROUND,0.3,VS1,L,EX,VG,VG,N,4.24-4.31×2.66,813.6,https://capitalwholesalediamonds.com/product/0-3-ct-round-5820/
1758158,ROUND,0.31,SI1,K,EX,EX,EX,N,4.43-4.45×2.69,817.94,https://capitalwholesalediamonds.com/product/0-31-ct-round-1207/
1779725,ROUND,0.3,SI1,K,EX,EX,EX,N,4.32-4.35×2.65,820.19,https://capitalwholesalediamonds.com/product/0-3-ct-round-5800/
1791607,ROUND,0.3,VS1,K,GD,EX,VG,N,4.14-4.19×2.71,820.7,https://capitalwholesalediamonds.com/product/0-3-ct-round-5763/
1790921,ROUND,0.31,SI1,I,VG,GD,EX,F,4.33-4.36×2.70,821.58,https://capitalwholesalediamonds.com/product/0-31-ct-round-1161/
1788923,ROUND,0.3,SI1,I,VG,EX,VG,N,4.23-4.29×2.66,821.71,https://capitalwholesalediamonds.com/product/0-3-ct-round-5536/
1783699,ROUND,0.29,VS1,J,EX,VG,VG,N,4.28-4.31×2.65,822.22,https://capitalwholesalediamonds.com/product/0-29-ct-round-101/
1787663,ROUND,0.3,VS2,K,VG,EX,GD,N,4.24-4.29×2.58,822.73,https://capitalwholesalediamonds.com/product/0-3-ct-round-5771/
1729275,ROUND,0.4,SI2,J,GD,VG,VG,F,4.57-4.63×3.00,823.4,https://capitalwholesalediamonds.com/product/0-4-ct-round-2199/
1783497,ROUND,0.3,VVS1,K,VG,EX,VG,N,4.36-4.40×2.59,826.78,https://capitalwholesalediamonds.com/product/0-3-ct-round-5716/
1772184,ROUND,0.4,SI1,L,EX,EX,VG,F,4.69-4.72×2.92,828.78,https://capitalwholesalediamonds.com/product/0-4-ct-round-2236/
1722004,ROUND,0.3,SI2,E,GD,VG,GD,N,4.18-4.26×2.62,828.79,https://capitalwholesalediamonds.com/product/0-3-ct-round-3770/
1791651,ROUND,0.3,VS2,L,EX,EX,EX,N,4.31-4.33×2.67,829.28,https://capitalwholesalediamonds.com/product/0-3-ct-round-5825/
1799568,ROUND,0.3,SI1,K,EX,EX,EX,N,4.31-4.32×2.68,829.3,https://capitalwholesalediamonds.com/product/0-3-ct-round-5789/
1799567,ROUND,0.3,SI1,K,EX,EX,EX,N,4.31-4.34×2.64,829.3,https://capitalwholesalediamonds.com/product/0-3-ct-round-5795/
1784864,ROUND,0.3,VS2,K,EX,VG,VG,F,4.29-4.32×2.70,829.32,https://capitalwholesalediamonds.com/product/0-3-ct-round-5770/
1779668,ROUND,0.3,VS2,K,EX,EX,VG,N,4.30-4.32×2.67,829.82,https://capitalwholesalediamonds.com/product/0-3-ct-round-5775/
1722523,ROUND,0.5,VS2,Q-R,EX,EX,EX,M,5.16-5.18×3.09,830.64,https://capitalwholesalediamonds.com/product/0-5-ct-round-5255/
